close,high,low,open,symbol,volume,id,key,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
129.41,133.6116,126.76,133.52,AAPL,143301887,HISTORICAL_PRICES,AAPL,1/4/2021,1.62826E+12,0,0,133.52,129.41,133.6116,126.76,143301887,132.8956,128.8048,132.9868,126.1672,143301887,4-Jan-21,0,0
131.01,131.74,128.43,128.89,AAPL,97664898,HISTORICAL_PRICES,AAPL,1/5/2021,1.62826E+12,0.012363805,0.012363805,128.89,131.01,131.74,128.43,97664898,128.2872,130.3973,131.1239,127.8294,97664898,5-Jan-21,1.6,0.0124
126.6,131.0499,126.382,127.72,AAPL,155087970,HISTORICAL_PRICES,AAPL,1/6/2021,1.62826E+12,-0.021713932,-0.021713932,127.72,126.6,131.0499,126.382,155087970,127.1227,126.008,130.437,125.791,155087970,6-Jan-21,-4.41,-0.0337
130.92,131.63,127.86,128.36,AAPL,109578157,HISTORICAL_PRICES,AAPL,1/7/2021,1.62826E+12,0.011668341,0.011668341,128.36,130.92,131.63,127.86,109578157,127.7597,130.3078,131.0144,127.2621,109578157,7-Jan-21,4.32,0.0341
132.05,132.63,130.23,132.43,AAPL,105158245,HISTORICAL_PRICES,AAPL,1/8/2021,1.62826E+12,0.020400278,0.020400278,132.43,132.05,132.63,130.23,105158245,131.8107,131.4325,132.0098,129.621,105158245,8-Jan-21,1.13,0.0086
128.98,130.17,128.5,129.19,AAPL,100620880,HISTORICAL_PRICES,AAPL,1/11/2021,1.62826E+12,-0.003322773,-0.003322773,129.19,128.98,130.17,128.5,100620880,128.5858,128.3768,129.5613,127.8991,100620880,11-Jan-21,-3.07,-0.0232
128.8,129.69,126.86,128.5,AAPL,91951145,HISTORICAL_PRICES,AAPL,1/12/2021,1.62826E+12,-0.004713701,-0.004713701,128.5,128.8,129.69,126.86,91951145,127.8991,128.1977,129.0835,126.2667,91951145,12-Jan-21,-0.18,-0.0014
130.89,131.45,128.49,128.76,AAPL,88636831,HISTORICAL_PRICES,AAPL,1/13/2021,1.62826E+12,0.01143652,0.01143652,128.76,130.89,131.45,128.49,88636831,128.1579,130.2779,130.8353,127.8891,88636831,13-Jan-21,2.09,0.0162
128.91,131,128.76,130.8,AAPL,90221755,HISTORICAL_PRICES,AAPL,1/14/2021,1.62826E+12,-0.003863689,-0.003863689,130.8,128.91,131,128.76,90221755,130.1883,128.3072,130.3874,128.1579,90221755,14-Jan-21,-1.98,-0.0151
127.14,130.2242,127,128.78,AAPL,111598531,HISTORICAL_PRICES,AAPL,1/15/2021,1.62826E+12,-0.017541148,-0.017541148,128.78,127.14,130.2242,127,111598531,128.1778,126.5454,129.6152,126.4061,111598531,15-Jan-21,-1.77,-0.0137
127.83,128.71,126.938,127.78,AAPL,90757329,HISTORICAL_PRICES,AAPL,1/19/2021,1.62826E+12,-0.012209257,-0.012209257,127.78,127.83,128.71,126.938,90757329,127.1824,127.2322,128.1081,126.3444,90757329,19-Jan-21,0.69,0.0054
132.03,132.49,128.55,128.66,AAPL,104319489,HISTORICAL_PRICES,AAPL,1/20/2021,1.62826E+12,0.020245731,0.020245731,128.66,132.03,132.49,128.55,104319489,128.0583,131.4126,131.8704,127.9488,104319489,20-Jan-21,4.2,0.0329
136.87,139.67,133.59,133.8,AAPL,120529544,HISTORICAL_PRICES,AAPL,1/21/2021,1.62826E+12,0.057646241,0.057646241,133.8,136.87,139.67,133.59,120529544,133.1743,136.2299,139.0168,132.9653,120529544,21-Jan-21,4.84,0.0367
139.07,139.85,135.02,136.28,AAPL,114459360,HISTORICAL_PRICES,AAPL,1/22/2021,1.62826E+12,0.074646472,0.074646472,136.28,139.07,139.85,135.02,114459360,135.6427,138.4196,139.196,134.3886,114459360,22-Jan-21,2.2,0.0161
142.92,145.09,136.54,143.07,AAPL,157611713,HISTORICAL_PRICES,AAPL,1/25/2021,1.62826E+12,0.104396878,0.104396878,143.07,142.92,145.09,136.54,157611713,142.4009,142.2516,144.4115,135.9015,157611713,25-Jan-21,3.85,0.0277
143.16,144.3,141.37,143.6,AAPL,98390555,HISTORICAL_PRICES,AAPL,1/26/2021,1.62826E+12,0.106251449,0.106251449,143.6,143.16,144.3,141.37,98390555,142.9285,142.4905,143.6252,140.7089,98390555,26-Jan-21,0.24,0.0017
142.06,144.3,140.41,143.43,AAPL,140843759,HISTORICAL_PRICES,AAPL,1/27/2021,1.62826E+12,0.097751333,0.097751333,143.43,142.06,144.3,140.41,140843759,142.7593,141.3957,143.6252,139.7534,140843759,27-Jan-21,-1.1,-0.0077
137.09,141.99,136.7,139.52,AAPL,142621128,HISTORICAL_PRICES,AAPL,1/28/2021,1.62826E+12,0.059346264,0.059346264,139.52,137.09,141.99,136.7,142621128,138.8675,136.4489,141.326,136.0607,142621128,28-Jan-21,-4.97,-0.035
131.96,136.74,130.21,135.83,AAPL,177523812,HISTORICAL_PRICES,AAPL,1/29/2021,1.62826E+12,0.019704814,0.019704814,135.83,131.96,136.74,130.21,177523812,135.1948,131.3429,136.1005,129.6011,177523812,29-Jan-21,-5.13,-0.0374
134.14,135.38,130.93,133.75,AAPL,106239823,HISTORICAL_PRICES,AAPL,2/1/2021,1.62826E+12,0.036550498,0.036550498,133.75,134.14,135.38,130.93,106239823,133.1245,133.5127,134.7469,130.3177,106239823,1-Feb-21,2.18,0.0165
134.99,136.31,134.61,135.73,AAPL,83305367,HISTORICAL_PRICES,AAPL,2/2/2021,1.62826E+12,0.04311877,0.04311877,135.73,134.99,136.31,134.61,83305367,135.0953,134.3587,135.6725,133.9805,83305367,2-Feb-21,0.85,0.0063
133.94,135.77,133.61,135.76,AAPL,89880937,HISTORICAL_PRICES,AAPL,2/3/2021,1.62826E+12,0.035005023,0.035005023,135.76,133.94,135.77,133.61,89880937,135.1251,133.3136,135.1351,132.9852,89880937,3-Feb-21,-1.05,-0.0078
137.39,137.4,134.59,136.3,AAPL,84183061,HISTORICAL_PRICES,AAPL,2/4/2021,1.62826E+12,0.061664477,0.061664477,136.3,137.39,137.4,134.59,84183061,135.6626,136.7475,136.7574,133.9606,84183061,4-Feb-21,3.45,0.0258
136.76,137.42,135.86,137.35,AAPL,75693830,HISTORICAL_PRICES,AAPL,2/5/2021,1.62826E+12,0.056796229,0.056796229,137.35,136.76,137.42,135.86,75693830,136.912,136.3239,136.9817,135.4267,75693830,5-Feb-21,-0.63,-0.0046
136.91,136.96,134.92,136.03,AAPL,71297214,HISTORICAL_PRICES,AAPL,2/8/2021,1.62826E+12,0.057955336,0.057955336,136.03,136.91,136.96,134.92,71297214,135.5962,136.4734,136.5232,134.4897,71297214,8-Feb-21,0.15,0.0011
136.01,137.877,135.85,136.62,AAPL,76774213,HISTORICAL_PRICES,AAPL,2/9/2021,1.62826E+12,0.051000695,0.051000695,136.62,136.01,137.877,135.85,76774213,136.1843,135.5762,137.4373,135.4168,76774213,9-Feb-21,-0.9,-0.0066
135.39,136.99,134.4,136.48,AAPL,73046563,HISTORICAL_PRICES,AAPL,2/10/2021,1.62826E+12,0.046209721,0.046209721,136.48,135.39,136.99,134.4,73046563,136.0447,134.9582,136.5531,133.9714,73046563,10-Feb-21,-0.62,-0.0046
135.13,136.39,133.77,135.9,AAPL,64280029,HISTORICAL_PRICES,AAPL,2/11/2021,1.62826E+12,0.044200603,0.044200603,135.9,135.13,136.39,133.77,64280029,135.4666,134.6991,135.955,133.3434,64280029,11-Feb-21,-0.26,-0.0019
135.37,135.53,133.6921,134.35,AAPL,60145130,HISTORICAL_PRICES,AAPL,2/12/2021,1.62826E+12,0.046055173,0.046055173,134.35,135.37,135.53,133.6921,60145130,133.9215,134.9383,135.0978,133.2657,60145130,12-Feb-21,0.24,0.0018
133.19,136.01,132.79,135.49,AAPL,80576316,HISTORICAL_PRICES,AAPL,2/16/2021,1.62826E+12,0.029209489,0.029209489,135.49,133.19,136.01,132.79,80576316,135.0579,132.7652,135.5762,132.3665,80576316,16-Feb-21,-2.18,-0.0161
130.84,132.22,129.47,131.25,AAPL,98085249,HISTORICAL_PRICES,AAPL,2/17/2021,1.62826E+12,0.011050151,0.011050151,131.25,130.84,132.22,129.47,98085249,130.8314,130.4227,131.7983,129.0571,98085249,17-Feb-21,-2.35,-0.0176
129.71,129.995,127.41,129.2,AAPL,96856748,HISTORICAL_PRICES,AAPL,2/18/2021,1.62826E+12,0.002318213,0.002318213,129.2,129.71,129.995,127.41,96856748,128.788,129.2963,129.5804,127.0037,96856748,18-Feb-21,-1.13,-0.0086
129.87,130.71,128.8,130.24,AAPL,87668834,HISTORICAL_PRICES,AAPL,2/19/2021,1.62826E+12,0.003554594,0.003554594,130.24,129.87,130.71,128.8,87668834,129.8246,129.4558,130.2931,128.3892,87668834,19-Feb-21,0.16,0.0012
126,129.72,125.6,128.01,AAPL,103916419,HISTORICAL_PRICES,AAPL,2/22/2021,1.62826E+12,-0.026350359,-0.026350359,128.01,126,129.72,125.6,103916419,127.6018,125.5982,129.3063,125.1994,103916419,22-Feb-21,-3.87,-0.0298
125.86,126.71,118.39,123.76,AAPL,158273022,HISTORICAL_PRICES,AAPL,2/23/2021,1.62826E+12,-0.027432192,-0.027432192,123.76,125.86,126.71,118.39,158273022,123.3653,125.4586,126.3059,118.0124,158273022,23-Feb-21,-0.14,-0.0011
125.35,125.56,122.23,124.94,AAPL,111039904,HISTORICAL_PRICES,AAPL,2/24/2021,1.62826E+12,-0.031373155,-0.031373155,124.94,125.35,125.56,122.23,111039904,124.5415,124.9502,125.1596,121.8402,111039904,24-Feb-21,-0.51,-0.0041
